data,fl_feriado,desc_feriado
2016-01-01,1, confraternização universal (feriado nacional)
2016-02-09,1, (terça-feira ) – Carnaval (ponto facultativo)
2016-02-10,1, (quarta-feira ) – Quarta-feira  Cinzas (ponto facultativo até as 14h)
2016-03-25,1, (sexta-feira ) – Paixão  Cristo (feriado nacional)
2016-04-21,1, (quinta-feira) – Tirantes (feriado nacional)
2016-02-08,1, (segunda-feira) – Carnaval (ponto facultativo) 
2016-05-01,1, (domingo) – Dia Mundial do Trabalho (feriado nacional)
2016-05-26,1, (quinta-feira) – Corpus Christi (ponto facultativo)
2016-09-07,1, (quarta-feira) – Inpendência do Brasil (feriado nacional)
2016-10-12,1, (quarta-feira) – Nossa Senhora Aparecida (feriado nacional)
2016-10-28,1, (sexta-feira) – Dia do Servidor Público (ponto facultativo)
2016-11-02,1, (quarta-feira ) – Finados (feriado nacional)
2016-11-15,1, (terça-feira) – Proclamação da República (feriado nacional)
2016-12-25,1, (domingo) – Natal (feriado nacional)
2017-01-01,1, confraternização universal (feriado nacional)
2017-02-27,1, fevereiro (segunda)  carnaval (ponto facultativo); 
2017-02-28,1, fevereiro (terça)  carnaval (ponto facultativo);
2017-03-01,1, março  quarta-feira  cinzas (ponto facultativo até as 14 horas);
2017-04-14,1, abril (sexta)  paixão  cristo (feriado nacional);
2017-04-21,1, abril (sexta)  tirantes (feriado nacional);
2017-05-01,1, maio (segunda)  dia mundial do trabalho (feriado nacional);
2017-06-15,1, junho (quinta)  corpus christi (ponto facultativo);
2017-09-07,1, setembro (quinta)  inpendência do brasil (feriado nacional);
2017-10-12,1, outubro (quinta)  nossa senhora aparecida (feriado nacional);
2017-10-28,1, outubro (sábado)  dia do servidor público (ponto facultativo);
2017-11-02,1, novembro (quinta)  finados (feriado nacional);
2017-11-15,1, novembro (quarta)  proclamação da república (feriado nacional);
2017-12-25,1, dezembro (segunda)  natal (feriado nacional)
2018-01-01,1, de janeiro (segunda): Confraternização Universal
2018-03-30,1, de março (sexta): Paixão de Cristo
2018-04-21,1, de abril (sábado): Tiradentes
2018-05-01,1, de maio (terça): Dia Mundial do Trabalho
2018-09-07,1, de setembro (sexta): Independência do Brasil
2018-10-12,1, de outubro (sexta): Nossa Senhora Aparecida
2018-11-02,1, de novembro (sexta): Finados
2018-11-15,1, de novembro (quinta): Proclamação da República
2018-12-25,1, de dezembro (terça): Natal
2018-02-12,1, de fevereiro (segunda): Carnaval
2018-02-13,1, de fevereiro (terça): Carnaval
2018-02-14,1, de fevereiro (quarta): Quarta-feira de cinzas (ponto facultativo até as 14h)
2018-05-31,1, de maio (quinta): Corpus Christi
2018-10-28,1, de outubro (domingo): Dia do Servidor Público
2019-01-01,1, de janeiro (terça-feira): Ano Novo.
2019-03-05,1, de março (terça): Carnaval — a segunda-feira  4 de março  é ponto facultativo  bem como a quarta-feira de Cinzas (ponto facultativo até as 14h).
2019-04-19,1, de abril: Sexta-feira Santa.
2019-04-21,1, de abril (Domingo): Páscoa e Tiradentes.
2019-05-01,1, de maio (quarta-feira): Dia Mundial do Trabalho.
2019-09-07,1, de setembro (sábado): Independência do Brasil.
2019-10-12,1, de outubro (sábado): Nossa Senhora Aparecida.
2019-11-02,1, de novembro (sábado): Finados.
2019-11-15,1, de novembro (sexta-feira): Proclamação da República.
2019-12-25,1, de dezembro (quarta-feira): Natal é dia 25.
2019-03-04,1, de março: segunda-feira de Carnaval é ponto facultativo.
2019-03-06,1, de março: quarta-feira de Cinzas é ponto facultativo até as 14h.
2019-06-20,1, de junho (quinta-feira): Corpus Christi  embora seja feriado em várias cidades brasileiras.
2019-10-28,1, de outubro (segunda-feira): Dia do Servidor Público.
2019-11-20,1, de novembro (quarta-feira): Dia da Consciência Negra  feriado em ao menos 1.045 municípios do Brasil.
